province,date,temp_mean,temp_max,temp_min,precip_total,rh_mean
JAWA BARAT,2017-02-01,22.210714285714285,25.75,19.639285714285712,302.6,84.46428571428571
JAWA BARAT,2017-03-01,22.845161290322583,26.938709677419357,19.451612903225808,207.3,81.45161290322581
JAWA BARAT,2017-04-01,22.746666666666666,27.043333333333333,19.423333333333336,159.4,83.4
JAWA BARAT,2017-05-01,23.07741935483871,27.80322580645161,19.116129032258065,52.5,79.58064516129032
JAWA BARAT,2017-06-01,23.066666666666666,28.06,18.916666666666668,42.300000000000004,78.2
JAWA BARAT,2017-07-01,22.70967741935484,28.374193548387098,18.529032258064515,33.6,74.70967741935483
JAWA BARAT,2017-08-01,23.358064516129033,29.738709677419354,18.25483870967742,7.6,68.48387096774194
JAWA BARAT,2017-09-01,23.883333333333333,30.266666666666666,18.89333333333333,167.2,67.83333333333333
JAWA BARAT,2017-10-01,23.148387096774194,28.067741935483873,19.596774193548388,278.0,80.74193548387096
JAWA BARAT,2017-11-01,23.0,27.483333333333334,19.67,155.7,80.5
JAWA BARAT,2017-12-01,22.77741935483871,26.693548387096776,19.664516129032258,83.1,80.0
JAWA BARAT,2018-01-01,22.548387096774192,25.961290322580645,20.032258064516128,184.3,80.74193548387096
JAWA BARAT,2018-02-01,22.332142857142856,26.135714285714283,19.37857142857143,94.9,83.21428571428571
JAWA BARAT,2018-03-01,22.661290322580644,26.72258064516129,19.096774193548388,146.6,81.96774193548387
JAWA BARAT,2018-04-01,22.93,27.68,18.983333333333334,147.9,81.7
JAWA BARAT,2018-05-01,23.0,28.448387096774194,18.312903225806455,37.5,77.96774193548387
JAWA BARAT,2018-06-01,23.026666666666664,28.476666666666667,18.573333333333334,54.5,78.4
JAWA BARAT,2018-07-01,22.529032258064515,29.22258064516129,16.651612903225807,4.8,66.03225806451613
JAWA BARAT,2018-08-01,23.07741935483871,29.887096774193548,17.27741935483871,21.1,64.29032258064517
JAWA BARAT,2018-09-01,23.36,30.223333333333336,18.003333333333334,51.2,66.86666666666666
JAWA BARAT,2018-10-01,24.461290322580645,30.81935483870968,19.335483870967742,102.4,67.93548387096774
JAWA BARAT,2018-11-01,23.029999999999998,27.773333333333333,19.55,416.0,82.73333333333333
JAWA BARAT,2018-12-01,23.074193548387097,27.112903225806452,19.932258064516127,156.9,82.19354838709677
JAWA BARAT,2019-01-01,22.664516129032258,26.548387096774192,19.612903225806452,192.4,83.7741935483871
JAWA BARAT,2019-02-01,22.849999999999998,27.196428571428573,19.271428571428572,331.1,84.64285714285714
JAWA BARAT,2019-03-01,22.95483870967742,26.870967741935484,19.73548387096774,233.5,82.35483870967742
JAWA BARAT,2019-04-01,23.09333333333333,27.59,19.623333333333335,287.7,84.86666666666666
